URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/uv/genomics-reporting/ValueSet/hgnc,1.0.0,active,,HGNC,HGNC,"This value set includes all HGNC Codes, which includes multiple code systems. In this guide, Gene IDs from HGNC are used as CodeableConcepts, which must be sent with the HGNC gene ID including the prefix 'HGNC:' as the `code` and the HGNC 'gene symbol' as `display`. CAUTION: HGNC also indexes gene groups by numeric ID (without a prefix), and older systems may send HGNC gene IDs without the prefix, so care must be taken to confirm alignment. We have separately included the genegroup code system to draw attention to this ambiguity and potential error.","StructureDefinition/expression,StructureDefinition/fusion","hl7.terminology.r4,Other"
http://terminology.hl7.org/ValueSet/v3-Race,3.0.0,active,"2.16.840.1.113883.1.11.14914",Race,Race,"In the United States, federal standards for classifying data on race determine the categories used by federal agencies and exert a strong influence on categorization by state and local agencies and private sector organizations. The federal standards do not conceptually define race, and they recognize the absence of an anthropological or scientific basis for racial classification. Instead, the federal standards acknowledge that race is a social-political construct in which an individual's own identification with one more race categories is preferred to observer identification. The standards use a variety of features to define five minimum race categories. Among these features are descent from ""the original peoples"" of a specified region or nation. The minimum race categories are American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, and White. The federal standards stipulate that race data need not be limited to the five minimum categories, but any expansion must be collapsible to those categories.","StructureDefinition/ethnicity","THO (V3)"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/AdverseEventCode,2.1.0,draft,,AdverseEventCode,Adverse Event Code Value Set,"Adverse event codes","StructureDefinition/onco-adverse-event","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/AdverseEventGrade,2.1.0,draft,,AdverseEventGrade,Adverse Event Grade Value Set,"Adverse event grade","StructureDefinition/onco-adverse-event","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/AlgorithmicPloidy,2.1.0,draft,,AlgorithmicPloidy,Algorithmic Ploidy,"Algorithmic Ploidy","StructureDefinition/sequencing-analysis","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/AlterationType,2.1.0,draft,,AlterationType,Alteration Type Value Set,"Alteration type","StructureDefinition/variant-annotation","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/AminoAcideChangeType,2.1.0,draft,,AminoAcideChangeType,Amino Acide Change Type Value Set,"Amino Acide Change Type",,"LOINC,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/AnalysisType,2.1.0,draft,,AnalysisType,Analysis Types Value Set,"Analysis types","StructureDefinition/analysis","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/BiologicalSampleNature,2.1.0,draft,,BiologicalSampleNature,Biological Sample Nature Value Set,"Biological sample nature","StructureDefinition/onco-biological-sample","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/BiologicalSampleOrigin,2.1.0,draft,,BiologicalSampleOrigin,Biological Sample Origin Value Set,"Biological sample origin","StructureDefinition/BiologicalSampleOrigin","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/BiomarkerCode,2.1.0,draft,,BiomarkerCode,Biomarker Value Set,"Biomarker types","StructureDefinition/biomarker","Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/CauseOfDeath,2.1.0,draft,,CauseOfDeath,Cause of death Value Set,"Cause of death","StructureDefinition/cause-of-death","THO"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/Chromosome,2.1.0,draft,,Chromosome,Chromosome Value Set,"Chromosome","StructureDefinition/snp","LOINC,THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/CytoBand,2.1.0,draft,,CytoBand,CytoBand Value Set,"CytoBand","StructureDefinition/snp","THO,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/DNAChangeType,2.1.0,draft,,DNAChangeType,DNA Change Type Value Set,"DNAChangeType","StructureDefinition/snp","LOINC,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/FusionType,2.1.0,draft,,FusionType,Fusion Type Value Set,"Fusion Type","StructureDefinition/fusion","LOINC,Other"
https://build.fhir.org/ig/arkhn/arkhn-ig-osiris/ValueSet/GeneExpressionDataType,2.1.0,draft,,GeneExpressionDataType,Gene Expression Data Type Value Set,"Gene Expression Data Type","StructureDefinition/gene-expression-data-type","Other"
