URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/uv/genomics-reporting/ValueSet/hgnc,1.0.0,active,,HGNC,HGNC,"This value set includes all HGNC Codes, which includes multiple code systems. In this guide, Gene IDs from HGNC are used as CodeableConcepts, which must be sent with the HGNC gene ID including the prefix 'HGNC:' as the `code` and the HGNC 'gene symbol' as `display`. CAUTION: HGNC also indexes gene groups by numeric ID (without a prefix), and older systems may send HGNC gene IDs without the prefix, so care must be taken to confirm alignment. We have separately included the genegroup code system to draw attention to this ambiguity and potential error.","StructureDefinition/expression,StructureDefinition/fusion","hl7.terminology.r4,Other"
http://hl7.org/fhir/uv/ips/ValueSet/whoatc-uv-ips,2.0.0-ballot,active,,WhoAtcUvIps,WHO ATC - IPS,"World Health Organization Anatomical Therapeutic Chemical (ATC) classification system.","StructureDefinition/onco-medication-statement","hl7.terminology.r4"
http://loinc.org/vs/LL2938-0,2.80,active,,LOINCAnswerListLL2938_0,,"LOINC Answer list for code LL2938-0: List of human chromosomes","ValueSet/GeneticMaterial","LOINC"
http://terminology.hl7.org/ValueSet/v3-Race,3.0.0,active,"2.16.840.1.113883.1.11.14914",Race,Race,"In the United States, federal standards for classifying data on race determine the categories used by federal agencies and exert a strong influence on categorization by state and local agencies and private sector organizations. The federal standards do not conceptually define race, and they recognize the absence of an anthropological or scientific basis for racial classification. Instead, the federal standards acknowledge that race is a social-political construct in which an individual's own identification with one more race categories is preferred to observer identification. The standards use a variety of features to define five minimum race categories. Among these features are descent from ""the original peoples"" of a specified region or nation. The minimum race categories are American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, and White. The federal standards stipulate that race data need not be limited to the five minimum categories, but any expansion must be collapsible to those categories.","StructureDefinition/ethnicity","THO (V3)"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AdverseEventCode,1.1.0,draft,,AdverseEventCode,Adverse Event Code Value Set,"Adverse event codes","StructureDefinition/onco-adverse-event","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AdverseEventGrade,1.1.0,draft,,AdverseEventGrade,Adverse Event Grade Value Set,"Adverse event grade","StructureDefinition/onco-adverse-event","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AlgorithmicPloidy,1.1.0,draft,,AlgorithmicPloidy,Algorithmic Ploidy,"Algorithmic Ploidy","StructureDefinition/sequencing-analysis","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AlterationType,1.1.0,draft,,AlterationType,Alteration Type Value Set,"Alteration type","StructureDefinition/variant-annotation","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AminoAcideChangeType,1.1.0,draft,,AminoAcideChangeType,Amino Acide Change Type Value Set,"Amino Acide Change Type",,"LOINC,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/AnalysisType,1.1.0,draft,,AnalysisType,Analysis Types Value Set,"Analysis types","StructureDefinition/analysis","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/BiologicalSampleNature,1.1.0,draft,,BiologicalSampleNature,Biological Sample Nature Value Set,"Biological sample nature","StructureDefinition/onco-biological-sample","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/BiologicalSampleOrigin,1.1.0,draft,,BiologicalSampleOrigin,Biological Sample Origin Value Set,"Biological sample origin","StructureDefinition/BiologicalSampleOrigin","THO,Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/BiomarkerCode,1.1.0,draft,,BiomarkerCode,Biomarker Value Set,"Biomarker types","StructureDefinition/biomarker","Other"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/CauseOfDeath,1.1.0,draft,,CauseOfDeath,Cause of death Value Set,"Cause of death","StructureDefinition/cause-of-death","THO"
https://ig-osiris.cancer.fr/ig/osiris/ValueSet/Chromosome,1.1.0,draft,,Chromosome,Chromosome Value Set,"Chromosome","StructureDefinition/snp","LOINC,THO,Other"
